GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ShoppingCart,org.example,CartController.CartItem,22,0,0,0,7,0,4,0,4,0
ShoppingCart,org.example,CartController,279,0,12,0,55,0,19,0,13,0
ShoppingCart,org.example,MainApp,4,0,0,0,2,0,1,0,1,0
ShoppingCart,org.example,Main,6,0,0,0,3,0,2,0,2,0
ShoppingCart,org.example,ShoppingCartApp,42,0,0,0,11,0,3,0,3,0
ShoppingCart,org.example,MapResourceBundle,28,0,2,0,8,0,5,0,4,0
ShoppingCart,org.example,CartController.new TableCell() {...},27,0,4,0,4,0,4,0,2,0
ShoppingCart,org.example,LocalizationService,35,0,2,0,9,0,3,0,2,0
ShoppingCart,org.example,CartService,158,0,8,0,41,0,6,0,2,0
ShoppingCart,org.example,LanguageController,180,0,9,0,46,0,9,0,3,0
ShoppingCart,org.example,ShoppingCart,0,82,0,4,0,18,0,7,0,5
ShoppingCart,org.example,DatabaseConnection,29,0,4,0,6,0,7,0,5,0
